content,score
"udah vaksin Ke 2 eh nggak terdaftar, ribeet jadinya",1
"Saya daftar ga bisa2,,,notifnya NIK dan nama tidak sesuai,,,padahal sudah sesuai lhooo...payaaaah",1
Tidak bisa diinstal di sistem android ini tidak kompatibel. Pemerintah tolong dong jangan hanya bisa menyulitkan masyarakat saja,1
Karena saya ingin daftar tapi dari tadi gk bisa mohon diperhatikan y,1
"Aplikasi dajjal, di upgrade malah setfikat g ada",1
"Aplikasi ga berguna, udah capek capek patuh sertifikat vaksin ga ada sama sekali, udh ngisi data tetep ga bisa, bukannya mempermudah malah mempersulit",1
Bagaimana cara masuk ke akun peduliLindungi ?? Sedangkan nomer handphone saya sudah tidak aktif ??,4
Good,5
"Aplikasi belum siap update justru sertifikat vaksin tidak tampil, namanya update berarti ada perbaikan lebih baik na ini malah makin mundur 🤣😂,gitu masih ada yang ngasih bintang di atas 1🤣😂",1
Tolong klo update sekalian gede gedean jangan nyicil update mulu,3
Waspadalah semua vires ayo giatkan buang air menggenang tumpahkan kecuali ada ikannya? Awas musim hujan saudara nyamuk nyamuk nakal!,5
Update terbaruMalah diminta nyalakan bluetooth dan tidak bisa log in,1
Dengan senang hati saya dengan adanya vaksinasi,5
Oke,5
Gmn nasib App ini di thn depan ya.,1
kok pas chekin punya saya eror terus ya?,1
Banyak error,1
Ini saya mau masuk ke peduli lindungi gimana sedangkan hp saya yg udah di daptarin hilang tolong jgn di bikin susah kaya gini saya mau berangkat ke luar negri jadi ga bisa gara2 aplikasi ga jelas,1
Suka eror,1
perna jadi sopir,3
Bagus mensosialisasikandan menghentikan penyebaran covid yang baru,5
Apk mantap,5
pkok Angga Angga tukang di mana do,5
Membantu sekali dalam perjalanan ke luar kota,5
Rekomended,5
Ok...Cakeeeeeep,5
Akses buat login mengunakan nomor telepon jadi di bikin ribet kasian yg kartu telpon nya hilang ga bisa login tolong buat akses login gunakan nomor nik nama sama tangal lahir,1
Padahal sudah vaksin BOSTER tapi ketika di cek/di buka kok nggak muncul apa2.gimana sih aplikasi ini gk jelas😡,1
Ok,5
A+,5
Aplikasinya sangat membantu saya ketika ada kegiatan yang memerlukan scanning vaksin,5
Aplikasinya bagus dan membantu,5
Faksin saya sdh jg ke berapa,5
"Aplikasi peduli lindungi sangat penting bagi semua orang yang terkena COVID-19 bagi yang berada di rumah sakit,gereja, stasiun kereta api,bandara dan juga yang berada di pelabuhan. Walaupun kita berpergian kita harus menaati protokol kesehatan misalnya 1: mencuci tangan ✋ 2: memakai masker 3: menjaga jarak minimal 1-2kl dan yang keempat sangat penting/4: dirumah saja. tetangga rumah saya aja banyak yang meninggal dunia akibat terkena COVID-19 bagi anda yang ingin tidak terkena COVID-19 dirumah y",5
"Ruweet dan ribeeet, bolak balik update",1
Sangat membantu,5
Good,5
Sangat membatu saya,5
Sangat baik,5
111111t,1
baik,5
Maaf ka sebelumnya mw nanya kok setelah update saya jadi tidak terdaftar Padahal saya udh vaksin sebelumya,3
Upded trus,5
Bagus,5
Sy sdh vaksin booster tp wkt vaksin sy isi formulir slh tulis no ktp bs tlg diperbaikin,2
"Gak bisa di buka,,, apk bynk bug kok ga di perbaiki... Seharusnya buka apk tidak usah pakai data,,",2
"Sangat membantu, tapi tak usah terlalu sering mperbarui.",5
Saya Udah Vaksin,5
Kok ehc saya gak ada y di aplikasi peduli lindungi,5
Sangat menjengkelkan. Bayangkan masuk pakai akun lama g bsa. Daftar akun baru nik sudah terpakai. Jd gmana. Aku masuk mall dll. Susah. Harus scan.,1
. B. Bv GB v b CC b. Gt dvv bv be gvb. VB v bcn. B v. B. V g bvtg gv b tb. BBB b b tv. Bv bgb g b. B. B. B. B b b. B. B. G b b. B lvbn bv. BB. Gfbbb fbbfb b b b t bt. Bbb. B. B b b. B b b bgb v BB. Btcvcccctvvvv vigvdcvvvrv.. Ra first lo,4
Bintang bicara,5
Aplikasi sampah..,1
"Sangat bagus , khususnya saat menghubungi Costumer Service . Saya mengajukan banyak pertanyaan dan di respon dengan sangat baik dan cepat .",5
Gos,5
Sangat membantu,5
Mantap,5
"Aplikasi gak bermutu, ada keluhan hanya saling lempar tanggung jawab",1
Membantu dan nerepotkan,5
Gk guna! Gk bisa d pake apk ni,1
Ok,5
sangat membantu,5
Bagus,3
Bagus,5
Ok,5
"Kusut nih gak guna, kita mau cek kapan tanggal vaksin aja gak tau, mau download sertifikat malah harus masukin tanggal vaksin n jenis vaksin. Seharusnya setelah login n masukin No KTP, harusnya ya muncul semua data data kita gan. Yang bener dong",1
Chuakss,5
Terus tingkatkan aplaksinya demi pelatanan prima,5
"""SEHAT. Sejahtera, Ekonomis, Harmonis, Agamis dan Terdepan. (❤️🌟....🙏)",4
"Setelah update jadi payah aplikasi nya sekarang, kenapa tidak bisa melihat sertifikat vaksin nya?! Cuma layar blank putih gx ada apa2.... Gx jelas",2
Mantab,5
Mantjap,5
"Aplikasi kok tiap dibuka slalu update, pdhal gak ada perubahan di interface nya",1
"Keseringan update,hp saya lemot,bikin ribed",3
info lebih kelas mantepp👍👍👍👍,5
Vaksin boster ini vaksin yg akan menjadi pelindung diriku .....amiin !,5
