content,sentiment
top,POSITIF
ooyii,POSITIF
habis,NEGATIF
data,NEGATIF
bagus,POSITIF
bagus,POSITIF
tidak,NEGATIF
,NEGATIF
good,POSITIF
yay,POSITIF
saya,POSITIF
ff,POSITIF
keren,POSITIF
sangat,POSITIF
terima,POSITIF
saya,NEGATIF
ok,POSITIF
scan,NEGATIF
mau,NEGATIF
siip,POSITIF
sangat,POSITIF
telah,NEGATIF
,POSITIF
vaksin,POSITIF
sippp,POSITIF
bagus,POSITIF
kenapa,POSITIF
top,POSITIF
ok,POSITIF
mudah,POSITIF
sekarang,POSITIF
good,POSITIF
good,POSITIF
ok,POSITIF
lupa,NEGATIF
selalu,NEGATIF
thank,POSITIF
good,POSITIF
mantap,POSITIF
baguss,POSITIF
saya,NEGATIF
bagus,POSITIF
bagus,POSITIF
aplikasi,POSITIF
mantap,POSITIF
,POSITIF
kalo,NEGATIF
terima,POSITIF
,POSITIF
saya,POSITIF
ok,POSITIF
mantap,POSITIF
bantu,POSITIF
bagus,POSITIF
jelek,NEGATIF
peduli,NEGATIF
bagus,POSITIF
aplikasi,NEGATIF
moga,POSITIF
terima,POSITIF
ok,POSITIF
ok,POSITIF
baik,POSITIF
aplikasi,NEGATIF
alhamdulilah,POSITIF
good,POSITIF
kalau,NEGATIF
gk,NEGATIF
sayaa,NEGATIF
bisa,POSITIF
kenapa,NEGATIF
baik,POSITIF
ok,POSITIF
ok,POSITIF
oke,POSITIF
p,POSITIF
sehat,POSITIF
baik,POSITIF
sanggat,POSITIF
tiap,NEGATIF
lama,POSITIF
kenapa,POSITIF
gak,NEGATIF
bagus,POSITIF
mantap,POSITIF
insyalloh,POSITIF
nyusahin,NEGATIF
oke,POSITIF
bagus,POSITIF
tuti,NEGATIF
ga,NEGATIF
ok,POSITIF
xx,NEGATIF
lumayan,POSITIF
minta,NEGATIF
saya,NEGATIF
ok,POSITIF
aplikasi,NEGATIF
mom,POSITIF
baik,POSITIF
aplikasi,NEGATIF
baik,POSITIF
bingung,NEGATIF
okeeee,POSITIF
aplikasi,NEGATIF
tolong,POSITIF
knpa,NEGATIF
kenapa,NEGATIF
ok,POSITIF
baik,POSITIF
di,NEGATIF
baik,POSITIF
ok,POSITIF
ok,POSITIF
sekarang,NEGATIF
sangat,POSITIF
tksi,POSITIF
lebih,POSITIF
gak,NEGATIF
gak,NEGATIF
bagus,POSITIF
sangat,POSITIF
baik,POSITIF
proses,POSITIF
baik,POSITIF
top,POSITIF
bagus,POSITIF
top,POSITIF
baik,POSITIF
nyaman,POSITIF
ok,POSITIF
susah,NEGATIF
kecewa,NEGATIF
sudah,NEGATIF
bantu,POSITIF
good,POSITIF
tidak,NEGATIF
bagus,POSITIF
hih,NEGATIF
tiap,NEGATIF
bagus,POSITIF
bagus,POSITIF
oke,POSITIF
bgs,POSITIF
lot,NEGATIF
amazingguys,POSITIF
sangat,POSITIF
keren,POSITIF
ok,POSITIF
keep,POSITIF
makin,NEGATIF
good,POSITIF
good,POSITIF
kdg,POSITIF
mantab,POSITIF
gw,NEGATIF
kok,NEGATIF
top,POSITIF
sudah,NEGATIF
bagus,POSITIF
telah,NEGATIF
jauh,NEGATIF
ok,POSITIF
aplikasi,NEGATIF
mantap,POSITIF
mantap,POSITIF
kecewa,NEGATIF
peduli,POSITIF
bagus,POSITIF
gak,NEGATIF
bagus,POSITIF
bagus,POSITIF
bagus,POSITIF
ok,POSITIF
bgus,POSITIF
,NEGATIF
saya,NEGATIF
bagus,POSITIF
ok,POSITIF
lbh,POSITIF
baik,POSITIF
saya,POSITIF
bagussss,POSITIF
kode,NEGATIF
ok,POSITIF
punya,NEGATIF
keren,POSITIF
ok,POSITIF
saya,NEGATIF
mantap,POSITIF
bagus,POSITIF
mohon,NEGATIF
untuk,NEGATIF
gg,POSITIF
sudah,NEGATIF
kemarin,NEGATIF
bagus,POSITIF
bagus,POSITIF
ok,POSITIF
aku,POSITIF
aplikasi,POSITIF
ok,POSITIF
ok,NEGATIF
sangat,POSITIF
ok,POSITIF
ok,POSITIF
ok,POSITIF
ok,POSITIF
sangat,POSITIF
hilang,NEGATIF
top,POSITIF
moga,POSITIF
ya,POSITIF
good,POSITIF
benar,POSITIF
mantap,POSITIF
byk,POSITIF
sangat,NEGATIF
,POSITIF
good,POSITIF
minta,NEGATIF
sangat,POSITIF
sertifikat,POSITIF
mataaaappppp,POSITIF
manfaat,POSITIF
sangat,POSITIF
mantap,POSITIF
aplikasi,POSITIF
sangat,POSITIF
eror,NEGATIF
indonesia,NEGATIF
gak,NEGATIF
ok,POSITIF
bagus,POSITIF
telah,NEGATIF
sudah,NEGATIF
sangat,POSITIF
aplikasi,NEGATIF
ini,NEGATIF
wdyu,NEGATIF
ok,POSITIF
