content,sentiment
Top,POSITIF
Ooyii,POSITIF
habis diupdate.... aplikasi ini malah nggak bisa dibuka...padahal update ke versi terbaru yg katanya ngilangin bugs.....gmn cara ngembaliin ke versi lama sebelum diupdate ??,NEGATIF
DATA SAYA DI KLAIM OLEH ORANG LAIN !!!!!!!!!! NIK KTP PUNYA SAYA.. TAPI NAMA SAYA BERBEDA BUKAN NAMA SAYA.. TOLONG DI BANTU... SAYA VAKSIN DI PUSKESMAS RAJEG !!!!!,NEGATIF
Bagus,POSITIF
Bagus,POSITIF
Tidak bisa unduh sertifikat vaksin,NEGATIF
:/,NEGATIF
Good aplikasi,POSITIF
Yay,POSITIF
Saya tidak dapat masuk ke aplikasi dengan email dan nomer tlvn saya,POSITIF
Ff,POSITIF
Keren,POSITIF
Sangat bgus,POSITIF
Terima kasih kepada pemerintah yang telah memperhatikan masyarakat dengan aplikasi ini,POSITIF
"Saya datang ke tempat yang minimal pengunjung vaksinasi dosis pertama tatapi kok pas scan di tolak terus ya? Sedangkan pas saya gak sengaja iseng scan yang minimal dosis ke tiga malah bisa. Padahal saya baru sampai dosis kedua. Dan ini bukan terjadi sama saya saja, tapi pas saya ceritakan ke teman saya, dia juga mengalami masalah serupa. (tepat yang saya kunjungi juga tempat yang rutin setiap Minggu saya datang, saya juga sempat cek persyaratan terbarunya, dan benar tetap minimal dosis pertama)",NEGATIF
Ok,POSITIF
Scan barcode tidak bisa login di stasiun selalu gagal,NEGATIF
"Mau download sertifikat internasional aja ga bisa ,ga muncul hasil nya , bikin ribet.",NEGATIF
Siip,POSITIF
Sangat membantu setiap melakukan perjalanan.,POSITIF
"Setelah di update gk bisa di gunain lgi,saya udh vaksin 3 x,malah muncul tanda warna merah",NEGATIF
╋╋╋╋ムムム╋╋╋╋╋,POSITIF
Vaksin ke 3 sertifikat nya Uda 5bln blm keluar,POSITIF
Sippp,POSITIF
Bagus,POSITIF
Kenapa saya gak bisa downlod pedulilindungi,POSITIF
top,POSITIF
Ok,POSITIF
Mudah di mengerti,POSITIF
Sekarang tdk bisa diakses?,POSITIF
good,POSITIF
good,POSITIF
Ok,POSITIF
"Lupa tanggal vaksin, gimana cara cek sertifikatnya",NEGATIF
Selalu gagal cek in gatau kenapa,NEGATIF
Thank u,POSITIF
Good job,POSITIF
Mantap membantu,POSITIF
Baguss....,POSITIF
"saya sudah vaksin ke tiga, tp sertifikat vaksin ke 3 saya tidak teceklis. jd setiap cek in masih terbaca vaksin ke 2 dan saya tidak boleh masuk ke mall.",NEGATIF
Bagus,POSITIF
Bagus aplikasikannya tapi aku tdk bisa memperbahuinya,POSITIF
Aplikasinya baguna babanaran,POSITIF
Mantap dan bagus,POSITIF
👍👍,POSITIF
"Kalo milih tanggal lahir buat klaim sertifikat manual ya, apa gabisa ketik capek tau scroll sampe taun kelahiran hadeh",NEGATIF
Terima kasih,POSITIF
👍👍👍👍👍,POSITIF
Saya udah vaksin ketiga kali tapi tiketnya belum muncul kok bisa ya..,POSITIF
Ok,POSITIF
mantap,POSITIF
Terbantu,POSITIF
bagus,POSITIF
"Jelek tiba"" eror",NEGATIF
peduli lindungi kenapa akun,NEGATIF
Bagus,POSITIF
APLIKASI G BISA DI BUKA!!! UPDATE MALAH EROR. UDAH DIHAPUS DATA SAMA AJA. G BISA DI BUKA,NEGATIF
Semoga negara kita bisa melewati pandemi ini.....ayooo vaksin.,POSITIF
Terima kasih aplikasi cukup bagus,POSITIF
Ok,POSITIF
Ok,POSITIF
Terbaik silah download,POSITIF
Aplikasi KNTL,NEGATIF
"🤲alhamdulilah sangat membantu,,dalam setiap saat & sebagai bukti diri terbebas dari Virus Covid 19...🙏🏻terima kasih🤜🤛",POSITIF
Good,POSITIF
"kalau mau input tanggal lahir lama, ngga bisa langsung ketik atau pilih tahun kelahiran secara cepat, harus klik satu satu",NEGATIF
"Gk bisa input data vaksin luar negeri dose 2,sistem tidak memberikan solusi",NEGATIF
Sayaa sulittt mengakses boster alasan banyak engak bsa input,NEGATIF
Bisa pake kemana,POSITIF
Kenapa saya sudah vaksin tp nomor tdk terdaftar. Membagongkan,NEGATIF
Baik Gampang buat kemana mana,POSITIF
Ok,POSITIF
Ok,POSITIF
oke,POSITIF
.p08,POSITIF
Sehat,POSITIF
baik,POSITIF
Sanggat bermanfaat,POSITIF
Setiap barcode scan selalu gagal,NEGATIF
Kelamaan hasilnya,POSITIF
Kenapa ini error' and loading teruss kalo login🥲🥲 mau di update juga susah.. padahal kuota sama sinyal lagi keadaan bagusss🥲,POSITIF
Gak bonafit. Sudah vaksin kedua malah gak ada data. Disuruh ke rumah sakit malah gak ada data. Banyak alasan pihak rumah sakit,NEGATIF
Bagus bangettt,POSITIF
Mantap,POSITIF
