score,content
5,Top
5,Ooyii
1,habis diupdate.... aplikasi ini malah nggak bisa dibuka...padahal update ke versi terbaru yg katanya ngilangin bugs.....gmn cara ngembaliin ke versi lama sebelum diupdate ??
1,DATA SAYA DI KLAIM OLEH ORANG LAIN !!!!!!!!!! NIK KTP PUNYA SAYA.. TAPI NAMA SAYA BERBEDA BUKAN NAMA SAYA.. TOLONG DI BANTU... SAYA VAKSIN DI PUSKESMAS RAJEG !!!!!
4,Bagus
5,Bagus
1,Tidak bisa unduh sertifikat vaksin
1,:/
5,Good aplikasi
5,Yay
5,Saya tidak dapat masuk ke aplikasi dengan email dan nomer tlvn saya
5,Ff
5,Keren
5,Sangat bgus
5,Terima kasih kepada pemerintah yang telah memperhatikan masyarakat dengan aplikasi ini
1,"Saya datang ke tempat yang minimal pengunjung vaksinasi dosis pertama tatapi kok pas scan di tolak terus ya? Sedangkan pas saya gak sengaja iseng scan yang minimal dosis ke tiga malah bisa. Padahal saya baru sampai dosis kedua. Dan ini bukan terjadi sama saya saja, tapi pas saya ceritakan ke teman saya, dia juga mengalami masalah serupa. (tepat yang saya kunjungi juga tempat yang rutin setiap Minggu saya datang, saya juga sempat cek persyaratan terbarunya, dan benar tetap minimal dosis pertama)"
5,Ok
1,Scan barcode tidak bisa login di stasiun selalu gagal
1,"Mau download sertifikat internasional aja ga bisa ,ga muncul hasil nya , bikin ribet."
5,Siip
4,Sangat membantu setiap melakukan perjalanan.
2,"Setelah di update gk bisa di gunain lgi,saya udh vaksin 3 x,malah muncul tanda warna merah"
5,╋╋╋╋ムムム╋╋╋╋╋
5,Vaksin ke 3 sertifikat nya Uda 5bln blm keluar
5,Sippp
5,Bagus
5,Kenapa saya gak bisa downlod pedulilindungi
5,top
5,Ok
5,Mudah di mengerti
5,Sekarang tdk bisa diakses?
5,good
5,good
3,Hm aku bingung
5,Ok
1,"Lupa tanggal vaksin, gimana cara cek sertifikatnya"
1,Selalu gagal cek in gatau kenapa
3,saya sudah vaksin mungkin ini ..
5,Thank u
5,Good job
5,Mantap membantu
5,Baguss....
1,"saya sudah vaksin ke tiga, tp sertifikat vaksin ke 3 saya tidak teceklis. jd setiap cek in masih terbaca vaksin ke 2 dan saya tidak boleh masuk ke mall."
3,Lambat.. Menyusahkan pake acr perbaharui
5,Bagus
5,Bagus aplikasikannya tapi aku tdk bisa memperbahuinya
5,Aplikasinya baguna babanaran
5,Mantap dan bagus
5,👍👍
1,"Kalo milih tanggal lahir buat klaim sertifikat manual ya, apa gabisa ketik capek tau scroll sampe taun kelahiran hadeh"
5,Terima kasih
5,👍👍👍👍👍
5,Saya udah vaksin ketiga kali tapi tiketnya belum muncul kok bisa ya..
5,Ok
5,mantap
4,Terbantu
5,bagus
1,"Jelek tiba"" eror"
1,peduli lindungi kenapa akun
5,Bagus
1,APLIKASI G BISA DI BUKA!!! UPDATE MALAH EROR. UDAH DIHAPUS DATA SAMA AJA. G BISA DI BUKA
5,Semoga negara kita bisa melewati pandemi ini.....ayooo vaksin.
5,Terima kasih aplikasi cukup bagus
5,Ok
5,Ok
5,Terbaik silah download
3,Di update malah susah chek in.. Tolong di perbaikin
1,Aplikasi KNTL
5,"🤲alhamdulilah sangat membantu,,dalam setiap saat & sebagai bukti diri terbebas dari Virus Covid 19...🙏🏻terima kasih🤜🤛"
5,Good
2,"kalau mau input tanggal lahir lama, ngga bisa langsung ketik atau pilih tahun kelahiran secara cepat, harus klik satu satu"
1,"Gk bisa input data vaksin luar negeri dose 2,sistem tidak memberikan solusi"
1,Sayaa sulittt mengakses boster alasan banyak engak bsa input
4,Bisa pake kemana
1,Kenapa saya sudah vaksin tp nomor tdk terdaftar. Membagongkan
5,Baik Gampang buat kemana mana
5,Ok
5,Ok
5,oke
4,.p08
5,Sehat
5,baik
5,Sanggat bermanfaat
1,Setiap barcode scan selalu gagal
5,Kelamaan hasilnya
